sample,real,imag
213,0.53223062,-0.84659940
214,0.78561121,0.61872047
215,-0.69828063,0.71582413
216,-0.63801974,-0.77002001
217,0.83313507,-0.55306953
218,0.46192491,0.88691902
219,-0.93076944,0.36560670
220,-0.26519367,-0.96419519
221,0.98682183,-0.16181046
222,0.05661496,0.99839610
223,-0.99878824,-0.04921463
224,0.15449302,-0.98799390
225,0.96613395,0.25804105
226,-0.35869905,0.93345326
227,-0.89031786,-0.45533958
228,0.54688030,-0.83721083
229,0.77472699,0.63229591
230,-0.71062976,0.70356619
231,-0.62452537,-0.78100455
232,0.84263200,-0.53848988
233,0.44642320,0.89482194
234,-0.93698984,0.34935662
235,-0.24837719,-0.96866339
236,0.98948789,-0.14461593
237,0.03923498,0.99923003
238,-0.99778074,-0.06658542
239,0.17166005,-0.98515624
240,0.96149796,0.27481210
241,-0.37488621,0.92707086
242,-0.88226044,-0.47076160
243,0.56136441,-0.82756871
244,0.76360816,0.64567989
245,-0.72276378,0.69109517
246,-0.61084187,-0.79175264
247,0.85187382,-0.52374709
248,0.43078628,0.90245396
249,-0.94292659,0.33300069
250,-0.23148546,-0.97283834
251,0.99185431,-0.12737757
252,0.02184304,0.99976140
253,-0.99647117,-0.08393613
254,0.18877520,-0.98202032
255,0.95657080,0.29149997
256,-0.39095995,0.92040771
257,-0.87393594,-0.48604116
258,0.57567865,-0.81767601
259,0.75225812,0.65886855
260,-0.73467904,0.67841488
261,-0.59697330,-0.80226111
262,0.86085778,-0.50884563
263,0.41501889,0.90981281
264,-0.94857788,0.31654388
265,-0.21452354,-0.97671884
266,0.99392045,-0.11010054
267,0.00444442,0.99999011
268,-0.99485987,-0.10126149
269,0.20583327,-0.97858709
270,0.95135409,0.30809969
271,-0.40691540,0.91346586
272,-0.86534673,-0.50117362
273,0.58981866,-0.80753571
274,0.74068028,0.67185771
275,-0.74637192,0.66552913
276,-0.58292401,-0.81252670
277,0.86958110,-0.49379012
278,0.39912575,0.91689622
279,-0.95394200,0.29999113
280,-0.19749662,-0.98030359
281,0.99568570,-0.09279012
282,-0.01295563,0.99991608
283,-0.99294734,-0.11855628
284,0.22282909,-0.97485751
285,0.94584924,0.32460621
286,-0.42274770,0.90624744
287,-0.85649556,-0.51615441
288,0.60378015,-0.79715091
289,0.72887808,0.68464351
290,-0.75783885,0.65244180
291,-0.56869811,-0.82254630
292,0.87804121,-0.47858500
293,0.38311169,0.92370200
294,-0.95901728,0.28334752
295,-0.18040982,-0.98359156
296,0.99714947,-0.07545152
297,-0.03035183,0.99953926
298,-0.99073416,-0.13581523
299,0.23975751,-0.97083282
300,0.94005805,0.34101447
301,-0.43845209,0.89875460
302,-0.84738499,-0.53097898
303,0.61755890,-0.78652465
304,0.71685517,0.69722211
305,-0.76907635,0.63915688
306,-0.55430001,-0.83231694
307,0.88623554,-0.46323493
308,0.36698157,0.93022823
309,-0.96380228,0.26661801
310,-0.16326833,-0.98658168
311,0.99831134,-0.05809001
312,-0.04773891,0.99885982
313,-0.98822105,-0.15303315
314,0.25661343,-0.96651411
315,0.93398219,0.35731959
316,-0.45402378,0.89098954
317,-0.83801782,-0.54564285
318,0.63115072,-0.77566022
319,0.70461518,0.70958966
320,-0.78008109,0.62567842
321,-0.53973401,-0.84183562
322,0.89416152,-0.44774452
323,0.35074028,0.93647277
324,-0.96829545,0.24980773
325,-0.14607732,-0.98927319
326,0.99917096,-0.04071083
327,-0.06511162,0.99787802
328,-0.98540872,-0.17020482
329,0.27339172,-0.96190280
330,0.92762351,0.37351659
331,-0.46945807,0.88295478
332,-0.82839686,-0.56014162
333,0.64455152,-0.76456088
334,0.69216180,0.72174239
335,-0.79084969,0.61201042
336,-0.52500451,-0.85109943
337,0.90181684,-0.43211848
338,0.33439273,0.94243383
339,-0.97249550,0.23292173
340,-0.12884201,-0.99166512
341,0.99972808,-0.02331925
342,-0.08246469,0.99659401
343,-0.98229802,-0.18732502
344,0.29008728,-0.95700020
345,0.92098391,0.38960057
346,-0.48475030,0.87465256
347,-0.81852508,-0.57447082
348,0.65775716,-0.75323004
349,0.67949879,0.73367667
350,-0.80137891,0.59815705
351,-0.51011598,-0.86010563
352,0.90919912,-0.41636154
353,0.31794384,0.94810957
354,-0.97640109,0.21596514
355,-0.11156762,-0.99375683
356,0.99998248,-0.00592053
357,-0.09979286,0.99500823
358,-0.97888982,-0.20438857
359,0.30669510,-0.95180780
360,0.91406548,0.40556666
361,-0.49989581,0.86608553
362,-0.80840540,-0.58862615
363,0.67076379,-0.74167103
364,0.66662997,0.74538881
365,-0.81166548,0.58412254
366,-0.49507293,-0.86885142
367,0.91630620,-0.40047845
368,0.30139861,0.95349824
369,-0.98001105,0.19894308
370,-0.09425937,-0.99554765
371,0.99993408,0.01148005
372,-0.11709090,0.99312121
373,-0.97518528,-0.22139032
374,0.32321015,-0.94632721
375,0.90687025,0.42141002
376,-0.51489007,0.85725623
377,-0.79804093,-0.60260332
378,0.68356735,-0.72988749
379,0.65355921,0.75687540
380,-0.82170635,0.56991112
381,-0.47987992,-0.87733418
382,0.92313582,-0.38447407
383,0.28476205,0.95859826
384,-0.98332429,0.18186072
385,-0.07692251,-0.99703705
386,0.99958295,0.02887724
387,-0.13435355,0.99093348
388,-0.97118545,-0.23832510
389,0.33962739,-0.94056004
390,0.89940035,0.43712583
391,-0.52972841,0.84816730
392,-0.78743470,-0.61639804
393,0.69616395,-0.71788281
394,0.64029056,0.76813281
395,-0.83149844,0.55552703
396,-0.46454155,-0.88555133
397,0.92968595,-0.36835319
398,0.26803923,0.96340799
399,-0.98633981,0.16472320
400,-0.05956227,-0.99822462
401,0.99892914,0.04626575
402,-0.15157561,0.98844564
403,-0.96689153,-0.25518781
404,0.35594186,-0.93450809
405,0.89165813,0.45270938
406,-0.54440647,0.83882153
407,-0.77659005,-0.63000625
408,0.70854986,-0.70566076
409,0.62682801,0.77915770
410,-0.84103888,0.54097468
411,-0.44906247,-0.89350039
412,0.93595463,-0.35212070
413,0.25123513,0.96792608
414,-0.98905671,0.14753574
415,-0.04218393,-0.99910986
416,0.99797291,0.06364034
417,-0.16875184,0.98565859
418,-0.96230477,-0.27197331
419,0.37214866,-0.92817312
420,0.88364589,0.46815589
421,-0.55891979,0.82922173
422,-0.76551026,-0.64342374
423,0.72072124,-0.69322497
424,0.61317551,0.78994668
425,-0.85032463,0.52625847
426,-0.43344733,-0.90117890
427,0.94193989,-0.33578151
428,0.23435491,0.97215110
429,-0.99147415,0.13030353
430,-0.02479274,-0.99969262
431,0.99671447,0.08099573
432,-0.18587705,0.98257303
433,-0.95742667,-0.28867653
434,0.38824281,-0.92155713
435,0.87536603,0.48346075
436,-0.57326388,0.81937081
437,-0.75419855,-0.65664643
438,0.73267448,-0.68057925
439,0.59933734,0.80049652
440,-0.85935301,0.51138288
441,-0.41770089,-0.90858459
442,0.94764000,-0.31934059
443,0.21740367,0.97608179
444,-0.99359137,0.11303180
445,-0.00739397,-0.99997264
446,0.99515420,0.09832668
447,-0.20294605,0.97918993
448,-0.95225865,-0.30529243
449,0.40421948,-0.91466200
450,0.86682111,0.49861926
451,-0.58743447,0.80927175
452,-0.74265844,-0.66967040
453,0.74440593,-0.66772735
454,0.58531767,0.81080407
455,-0.86812115,0.49635234
456,-0.40182787,-0.91571522
457,0.95305318,-0.30280289
458,0.20038649,0.97971690
459,-0.99540776,0.09572575
460,0.01000712,-0.99994993
461,0.99329257,0.11562791
462,-0.21995367,0.97551030
463,-0.94680226,-0.32181594
464,0.42007384,-0.90748996
465,0.85801363,0.51362687
466,-0.60142726,0.79892755
467,-0.73089343,-0.68249160
468,0.75591201,-0.65467322
469,0.57112068,0.82086611
470,-0.87662649,0.48117146
471,-0.38583314,-0.92256856
472,0.95817780,-0.28617343
473,0.18330859,0.98305541
474,-0.99692273,0.07839066
475,0.02740525,-0.99962443
476,0.99113023,0.13289422
477,-0.23689477,0.97153533
478,-0.94105911,-0.33824208
479,0.43580106,-0.90004301
480,0.84894639,0.52847904
481,-0.61523795,0.78834146
482,-0.71890706,-0.69510621
483,0.76718926,-0.64142084
484,0.55675066,0.83067966
485,-0.88486642,0.46584481
486,-0.36972150,-0.92914259
487,0.96301234,-0.26945725
488,0.16617508,0.98609626
489,-0.99813581,0.06103174
490,0.04479517,-0.99899620
491,0.98866773,0.15012036
492,-0.25376421,0.96726608
493,-0.93503106,-0.35456586
494,0.45139638,-0.89232355
495,0.83962196,0.54317117
496,-0.62886244,0.77751654
497,-0.70670289,-0.70751041
498,0.77823418,-0.62797415
499,0.54221201,0.84024173
500,-0.89283848,0.45037705
501,-0.35349783,-0.93543535
502,0.96755528,-0.25265941
503,0.14899120,0.98883849
504,-0.99904668,0.04365427
505,0.06217159,-0.99806547
506,0.98590583,0.16730112
507,-0.27055687,0.96270400
508,-0.92871976,-0.37078238
509,0.46685508,-0.88433385
510,0.83004332,0.55769897
511,-0.64229661,0.76645619
512,-0.69428474,-0.71970046
513,0.78904361,-0.61433721
514,0.52750909,0.84954941
515,-0.90054017,0.43477282
516,-0.33716705,-0.94144481
517,0.97180527,-0.23578499
518,0.13176213,0.99128139
519,-0.99965507,0.02626351
520,0.07952926,-0.99683255
521,0.98284543,0.18443130
522,-0.28726768,0.95785034
523,-0.92212725,-0.38688666
524,0.48217249,-0.87607634
525,0.82021320,0.57205790
526,-0.65553629,0.75516367
527,-0.68165624,-0.73167259
528,0.79961407,-0.60051423
529,0.51264638,0.85859984
530,-0.90796924,0.41903687
531,-0.32073411,-0.94716924
532,0.97576094,-0.21883909
533,0.11449307,0.99342406
534,-0.99996072,0.00886472
535,0.09686293,-0.99529773
536,0.97948736,0.20150571
537,-0.30389160,0.95270663
538,-0.91525549,-0.40287387
539,0.49734393,-0.86755347
540,0.81013477,0.58624369
541,-0.66857749,0.74364245
542,-0.66882133,-0.74342316
543,0.80994248,-0.58650935
544,0.49762839,0.86739033
545,-0.91512334,0.40317398
546,-0.30420396,-0.95260692
547,0.97942120,-0.20182686
548,0.09718928,0.99526590
549,-0.99996358,-0.00853684
550,0.11416734,-0.99346155
551,0.97583264,0.21851915
552,-0.32042354,0.94727439
553,-0.90810657,-0.41873917
554,0.51236486,-0.85876787
555,0.79981089,0.60025203
556,-0.68141633,0.73189598
557,-0.65578377,-0.75494874
558,0.82002562,-0.57232678
559,0.48245963,0.87591821
560,-0.92200041,0.38718891
561,-0.28758165,-0.95775610
562,0.98278493,-0.18475343
563,0.07985597,0.99680638
564,-0.99966359,-0.02593588
565,0.13143726,-0.99132448
566,0.97188246,0.23546651
567,-0.33685854,0.94155526
568,-0.90068257,-0.43447772
569,0.52723068,-0.84972221
570,0.78924483,0.61407870
571,-0.69404888,0.71992785
572,-0.64254761,-0.76624572
573,0.82986057,-0.55797082
574,0.46714473,0.88418084
575,-0.92859828,0.37108654
576,-0.27087215,-0.96261531
577,0.98585099,-0.16762398
578,0.06249841,0.99804509
579,-0.99906093,-0.04332715
580,0.14866744,-0.98888725
581,0.96763796,0.25234264
582,-0.35319158,0.93555099
583,-0.89298582,-0.45008478
584,0.54193693,-0.84041917
585,0.77843970,0.62771940
586,-0.70647132,0.70774162
587,-0.62911683,-0.77731073
588,0.83944422,-0.54344589
589,0.45168826,0.89217585
590,-0.93491501,0.35487172
591,-0.25408056,-0.96718305
592,0.98861855,-0.15044370
593,0.04512185,0.99898148
594,-0.99815571,-0.06070537
595,0.16585268,-0.98615056
596,0.96310037,0.26914242
597,-0.36941776,0.92926341
598,-0.88501865,-0.46555558
599,0.55647916,-0.83086157
600,0.76739877,0.64117008
601,-0.71867990,0.69534105
602,-0.61549550,-0.78814042
603,0.84877372,-0.52875626
604,0.43609497,0.89990067
605,-0.94094861,0.33854935
606,-0.23721197,-0.97145790
607,0.99108678,-0.13321778
608,0.02773155,0.99961543
609,-0.99694824,-0.07806528
610,0.18298778,-0.98311520
611,0.95827115,0.28586078
612,-0.38553214,0.92269439
613,-0.87678343,-0.48088551
614,0.57085288,-0.82105237
615,0.75612545,0.65442669
616,-0.73067087,0.68272984
617,-0.60168767,-0.79873145
618,0.85784620,-0.51390648
619,0.42036954,0.90735298
620,-0.94669735,0.32212442
621,-0.22027147,-0.97543859
622,0.99325490,-0.11595145
623,0.01033277,0.99994659
624,-0.99543887,-0.09540163
625,0.20006754,-0.97978210
626,0.95315170,0.30249265
627,-0.40152985,0.91584593
628,-0.86828262,-0.49606985
629,0.58505386,-0.81099445
630,0.74462306,0.66748518
631,-0.74244064,0.66991186
632,-0.58769757,-0.80908066
633,0.86665899,-0.49890104
634,0.40451676,0.91453058
635,-0.95215940,0.30560184
636,-0.20326418,-0.97912395
637,0.99512219,-0.09864993
638,-0.00706921,0.99997503
639,-0.99362803,-0.11270916
640,0.21708678,-0.97615230
641,0.94774359,0.31903300
642,-0.41740602,0.90872008
643,-0.85951883,-0.51110405
644,0.59907770,-0.80069089
645,0.73289520,0.68034160
646,-0.75398558,0.65689093
647,-0.57352948,-0.81918496
648,0.87520933,-0.48374441
649,0.38854140,0.92143124
650,-0.95733315,0.28898665
651,-0.18619527,-0.98251277
652,0.99668819,-0.08131846
653,-0.02446912,0.99970061
654,-0.99151629,-0.12998264
655,0.23404035,-0.97222686
656,0.94204849,0.33547679
657,-0.43315583,0.90131903
658,-0.85049474,-0.52598351
659,0.61292017,-0.79014486
660,0.72094524,0.69299203
661,-0.76530230,0.64367104
662,-0.55918759,-0.82904112
663,0.88349468,-0.46844125
664,0.37244830,0.92805296
665,-0.96221697,0.27228388
666,-0.16906989,-0.98560405
667,0.99795234,-0.06396229
668,-0.04186170,0.99912339
669,-0.98910427,-0.14721683
670,0.25092313,-0.96800703
671,0.93606806,0.35181904
672,-0.44877458,0.89364499
673,-0.84121305,-0.54070377
674,0.62657708,-0.77935946
675,0.70877695,0.70543265
676,-0.77638727,0.63025612
677,-0.54467636,-0.83864635
678,0.89151245,-0.45299613
679,0.35624233,0.93439358
680,-0.96680945,0.25549859
681,-0.15189324,-0.98839688
682,0.99891424,-0.04658667
683,-0.05924168,0.99824369
684,-0.98639268,-0.16440651
685,0.26772997,-0.96349400
686,0.92980409,0.36805484
687,-0.46425748,0.88570029
688,-0.83167660,-0.55526036
689,0.64004427,-0.76833802
690,0.69639397,0.71765965
691,-0.78723723,0.61665028
692,-0.53000003,-0.84799761
693,0.89926034,-0.43741378
694,0.33992842,0.94045132
695,-0.97110915,0.23863584
696,-0.13467051,-0.99089044
697,0.99957371,-0.02919686
698,-0.07660379,0.99706161
699,-0.98338234,-0.18154648
700,0.28445584,-0.95868915
